claim_id,claim_role,claim_class,metric_id,scope,numeric_value,value_text,unit,numerator,denominator,display_value,rounding_digits,verification_status,article_use,chart_ids,article_tokens,calculation,source,note,exploratory_backtest_status,series_comparability_limitation,continuing_sample_size_limitation,profit_standard_error_limitation,continuing_margin_interpretation,sample_error_status,metric_type,legacy_unit_v3_1,internal_value,canonical_source_path,canonical_period_code,canonical_breakdown,canonical_category_code,canonical_series,canonical_metric_id,canonical_source_row_number,canonical_value_lineage
V31-CENSUS-THRESHOLD,DEFINITION,CALC,regular_series_census_threshold,非金融法人の通常系列,500000000.0,,yen,,,5億円,0,PASS,True,mismatch_heatmap.png,5億円,official survey-design boundary,e-Stat表1・財務省「継続標本のみを用いた計数」,,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,currency_threshold_yen,yen,500000000.0,,,,,,,,
V31-COMPOSITE-HEADLINE-MISMATCH,SUPPLEMENTAL,CALC,composite_headline_support_mismatch,規模別複合見出し、2016Q1–2026Q1,26.82926829268293,,percent,11.0,41.0,11/41,2,PASS,True,headline_2x2.png,11/41,regular_only + continuing_only,e-Stat表1・財務省「継続標本のみを用いた計数」,補足。2026Q1確認後に過去へ適用した探索的バックテスト。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,direction_mismatch_rate,%,26.82926829268293,,,,,,,,
V31-DEADBAND-LARGE-D005,ROBUSTNESS,CALC,deadband_margin_direction_mismatch,large,0.0,,percent,0.0,41.0,±0.5%: 0/41（0.0％）,1,PASS,True,deadband_sensitivity.png,±0.5％;0/41;0.0％,retain only quarters where both estimates lie outside +/-d,e-Stat表1・財務省「継続標本のみを用いた計数」,単位は利益率の相対変化率（%）。絶対ポイント差ではない。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,direction_mismatch_rate,%,0.0,,,,,,,,
V31-DEADBAND-LARGE-D010,ROBUSTNESS,CALC,deadband_margin_direction_mismatch,large,0.0,,percent,0.0,41.0,±1%: 0/41（0.0％）,1,PASS,True,deadband_sensitivity.png,±1％;0/41;0.0％,retain only quarters where both estimates lie outside +/-d,e-Stat表1・財務省「継続標本のみを用いた計数」,単位は利益率の相対変化率（%）。絶対ポイント差ではない。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,direction_mismatch_rate,%,0.0,,,,,,,,
V31-DEADBAND-LARGE-D020,ROBUSTNESS,CALC,deadband_margin_direction_mismatch,large,0.0,,percent,0.0,36.0,±2%: 0/36（0.0％）,1,PASS,True,deadband_sensitivity.png,±2％;0/36;0.0％,retain only quarters where both estimates lie outside +/-d,e-Stat表1・財務省「継続標本のみを用いた計数」,単位は利益率の相対変化率（%）。絶対ポイント差ではない。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,direction_mismatch_rate,%,0.0,,,,,,,,
V31-DEADBAND-LARGE-D030,ROBUSTNESS,CALC,deadband_margin_direction_mismatch,large,0.0,,percent,0.0,33.0,±3%: 0/33（0.0％）,1,PASS,True,deadband_sensitivity.png,±3％;0/33;0.0％,retain only quarters where both estimates lie outside +/-d,e-Stat表1・財務省「継続標本のみを用いた計数」,単位は利益率の相対変化率（%）。絶対ポイント差ではない。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,direction_mismatch_rate,%,0.0,,,,,,,,
V31-DEADBAND-MIDDLE-D005,ROBUSTNESS,CALC,deadband_margin_direction_mismatch,middle,7.894736842105263,,percent,3.0,38.0,±0.5%: 3/38（7.9％）,1,PASS,True,deadband_sensitivity.png,±0.5％;3/38;7.9％,retain only quarters where both estimates lie outside +/-d,e-Stat表1・財務省「継続標本のみを用いた計数」,単位は利益率の相対変化率（%）。絶対ポイント差ではない。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,direction_mismatch_rate,%,7.894736842105263,,,,,,,,
V31-DEADBAND-MIDDLE-D010,ROBUSTNESS,CALC,deadband_margin_direction_mismatch,middle,5.555555555555555,,percent,2.0,36.0,±1%: 2/36（5.6％）,1,PASS,True,deadband_sensitivity.png,±1％;2/36;5.6％,retain only quarters where both estimates lie outside +/-d,e-Stat表1・財務省「継続標本のみを用いた計数」,単位は利益率の相対変化率（%）。絶対ポイント差ではない。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,direction_mismatch_rate,%,5.555555555555555,,,,,,,,
V31-DEADBAND-MIDDLE-D020,ROBUSTNESS,CALC,deadband_margin_direction_mismatch,middle,3.125,,percent,1.0,32.0,±2%: 1/32（3.1％）,1,PASS,True,deadband_sensitivity.png,±2％;1/32;3.1％,retain only quarters where both estimates lie outside +/-d,e-Stat表1・財務省「継続標本のみを用いた計数」,単位は利益率の相対変化率（%）。絶対ポイント差ではない。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,direction_mismatch_rate,%,3.125,,,,,,,,
V31-DEADBAND-MIDDLE-D030,ROBUSTNESS,CALC,deadband_margin_direction_mismatch,middle,0.0,,percent,0.0,29.0,±3%: 0/29（0.0％）,1,PASS,True,deadband_sensitivity.png,±3％;0/29;0.0％,retain only quarters where both estimates lie outside +/-d,e-Stat表1・財務省「継続標本のみを用いた計数」,単位は利益率の相対変化率（%）。絶対ポイント差ではない。,POST_HOC_EXPLORATORY_BACKTEST_RULE_DEFINED_AFTER_2026Q1,通常系列と継続標本系列は、企業の参入・退出、回答継続条件、推計用乗率、未回答補完、母集団構成の違いを含み得るため、いずれかを基準系列として優越させない。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。,NOT_QUANTIFIED_OPERATING_AND_ORDINARY_PROFIT_STANDARD_ERRORS_NOT_CALCULATED_BY_MOF,direction_mismatch_rate,%,0.0,,,,,,,,
