claim_id,candidate_id,candidate_mapping_registry,claim_class,period_code,scope,metric_id,numeric_value,value_text,unit,display_value,rounding_digits,numerator,denominator,source_yoy_delta_oku_yen,calculation,source,verification_status,article_use,chart_ids,note,continuing_sample_size_limitation,profit_standard_error_limitation,continuing_margin_interpretation
V3-CONT-CAP19-MARGIN-DIRECTION,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,資本金1千万円以上1億円未満層（金融業・保険業を除く）,operating_margin_change_direction,,UP,direction,上昇方向,,,,,sign((1+operating_profit_yoy)/(1+sales_yoy)-1); direction proxy only; no margin level or pp change,財務省 keizoku.pdf（継続標本）,PASS,True,current_sample_margin_direction.png,継続標本の利益率水準は不明。方向代理のみ。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-CONT-CAP19-OPERATING-PROFIT-YOY,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,FACT,20261,資本金1千万円以上1億円未満層（金融業・保険業を除く）,operating_profit_yoy_pct,6.0,,%,6.0％増,1.0,,,,DIRECT_PUBLISHED_YOY_RATE,財務省 keizoku.pdf（継続標本）,PASS,True,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-CONT-CAP19-SALES-YOY,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,FACT,20261,資本金1千万円以上1億円未満層（金融業・保険業を除く）,sales_yoy_pct,2.5,,%,2.5％増,1.0,,,,DIRECT_PUBLISHED_YOY_RATE,財務省 keizoku.pdf（継続標本）,PASS,True,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-CONT-CAP24-MARGIN-DIRECTION,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,資本金1億円以上10億円未満層（金融業・保険業を除く）,operating_margin_change_direction,,UP,direction,上昇方向,,,,,sign((1+operating_profit_yoy)/(1+sales_yoy)-1); direction proxy only; no margin level or pp change,財務省 keizoku.pdf（継続標本）,PASS,False,current_sample_margin_direction.png,継続標本の利益率水準は不明。方向代理のみ。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-CONT-CAP24-OPERATING-PROFIT-YOY,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,FACT,20261,資本金1億円以上10億円未満層（金融業・保険業を除く）,operating_profit_yoy_pct,22.4,,%,22.4％増,1.0,,,,DIRECT_PUBLISHED_YOY_RATE,財務省 keizoku.pdf（継続標本）,PASS,False,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-CONT-CAP24-SALES-YOY,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,FACT,20261,資本金1億円以上10億円未満層（金融業・保険業を除く）,sales_yoy_pct,2.0,,%,2.0％増,1.0,,,,DIRECT_PUBLISHED_YOY_RATE,財務省 keizoku.pdf（継続標本）,PASS,False,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-CONT-CAP25-MARGIN-DIRECTION,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,CALC,20261,資本金10億円以上層（金融業・保険業を除く）,operating_margin_change_direction,,UP,direction,上昇方向,,,,,sign((1+operating_profit_yoy)/(1+sales_yoy)-1); direction proxy only; no margin level or pp change,財務省 keizoku.pdf（継続標本）,PASS,False,current_sample_margin_direction.png,継続標本の利益率水準は不明。方向代理のみ。,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-CONT-CAP25-OPERATING-PROFIT-YOY,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,FACT,20261,資本金10億円以上層（金融業・保険業を除く）,operating_profit_yoy_pct,20.0,,%,20.0％増,1.0,,,,DIRECT_PUBLISHED_YOY_RATE,財務省 keizoku.pdf（継続標本）,PASS,False,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-CONT-CAP25-SALES-YOY,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,FACT,20261,資本金10億円以上層（金融業・保険業を除く）,sales_yoy_pct,2.6,,%,2.6％増,1.0,,,,DIRECT_PUBLISHED_YOY_RATE,財務省 keizoku.pdf（継続標本）,PASS,False,current_sample_margin_direction.png,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
V3-CONT-PROFIT-SE-NOT-CALCULATED,SAMPLE_CONSTRUCTION_SENSITIVITY,CLAIM_CANDIDATE_REGISTRY_V3_EXPLICIT,FACT,20261,継続標本の標準誤差率,profit_standard_error_status,,OPERATING_AND_ORDINARY_PROFIT_NOT_CALCULATED,text,営業利益・経常利益の標準誤差率は未算出,,,,,DIRECT_PUBLISHED_VALUE,財務省 keizoku.pdf 注記,PASS,True,,,継続標本のみを用い母集団推計を行うため、本系列に比べサンプルサイズが小さくなる。,営業利益及び経常利益については、標準誤差率の算出は行っていない。,継続標本PDFは利益水準とその符号を公表しないため、売上高と営業利益の増加率から得る利益率方向は代理指標である。
